sample_ID	province	Latitude	Longitude	health zone
equbole100001	Equateur	0.034349	18.2671222	Bolenge
equbole100002	Equateur	0.034349	18.2671222	Bolenge
equbole100005	Equateur	0.034349	18.2671222	Bolenge
equbole100006	Equateur	0.034349	18.2671222	Bolenge
equbole100007	Equateur	0.034349	18.2671222	Bolenge
equbole100008	Equateur	0.034349	18.2671222	Bolenge
equbole100009	Equateur	0.034349	18.2671222	Bolenge
equbole100010	Equateur	0.034349	18.2671222	Bolenge
equbole100015	Equateur	0.034349	18.2671222	Bolenge
equbole100079	Equateur	0.034349	18.2671222	Bolenge
equbole100081	Equateur	0.034349	18.2671222	Bolenge
equbole100082	Equateur	0.034349	18.2671222	Bolenge
equbole100085	Equateur	0.034349	18.2671222	Bolenge
equbole100105	Equateur	0.034349	18.2671222	Bolenge
equbole100106	Equateur	0.034349	18.2671222	Bolenge
equbole100107	Equateur	0.034349	18.2671222	Bolenge
equbole100118	Equateur	0.034349	18.2671222	Bolenge
equbole200001	Equateur	0.034349	18.2671222	Bolenge
equbole200002	Equateur	0.034349	18.2671222	Bolenge
equbole200003	Equateur	0.034349	18.2671222	Bolenge
equbole200004	Equateur	0.034349	18.2671222	Bolenge
equbole200005	Equateur	0.034349	18.2671222	Bolenge
equbole200006	Equateur	0.034349	18.2671222	Bolenge
equbole200007	Equateur	0.034349	18.2671222	Bolenge
equbole200009	Equateur	0.034349	18.2671222	Bolenge
equbole200010	Equateur	0.034349	18.2671222	Bolenge
equbole200012	Equateur	0.034349	18.2671222	Bolenge
equbole200013	Equateur	0.034349	18.2671222	Bolenge
equbole200014	Equateur	0.034349	18.2671222	Bolenge
equbole200015	Equateur	0.034349	18.2671222	Bolenge
equbole200016	Equateur	0.034349	18.2671222	Bolenge
equbole200079	Equateur	0.034349	18.2671222	Bolenge
equbole200080	Equateur	0.034349	18.2671222	Bolenge
equbole200081	Equateur	0.034349	18.2671222	Bolenge
equbole200082	Equateur	0.034349	18.2671222	Bolenge
equbole200083	Equateur	0.034349	18.2671222	Bolenge
equbole200084	Equateur	0.034349	18.2671222	Bolenge
equbole200085	Equateur	0.034349	18.2671222	Bolenge
equbole200086	Equateur	0.034349	18.2671222	Bolenge
equbole200087	Equateur	0.034349	18.2671222	Bolenge
equbole200088	Equateur	0.034349	18.2671222	Bolenge
equbole200105	Equateur	0.034349	18.2671222	Bolenge
equbole200106	Equateur	0.034349	18.2671222	Bolenge
equbole200107	Equateur	0.034349	18.2671222	Bolenge
equbole200108	Equateur	0.034349	18.2671222	Bolenge
equbole200109	Equateur	0.034349	18.2671222	Bolenge
equbole300001	Equateur	0.034349	18.2671222	Bolenge
equbole300002	Equateur	0.034349	18.2671222	Bolenge
equbole300003	Equateur	0.034349	18.2671222	Bolenge
equbole300013	Equateur	0.034349	18.2671222	Bolenge
equbole300014	Equateur	0.034349	18.2671222	Bolenge
equbole300015	Equateur	0.034349	18.2671222	Bolenge
equbole300016	Equateur	0.034349	18.2671222	Bolenge
equbole300020	Equateur	0.034349	18.2671222	Bolenge
equbole400047	Equateur	0.034349	18.2671222	Bolenge
equbole400052	Equateur	0.034349	18.2671222	Bolenge
equbole400053	Equateur	0.034349	18.2671222	Bolenge
equbole400059	Equateur	0.034349	18.2671222	Bolenge
equbole400060	Equateur	0.034349	18.2671222	Bolenge
equbole400110	Equateur	0.034349	18.2671222	Bolenge
equbole400117	Equateur	0.034349	18.2671222	Bolenge
kasmika100001	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100002	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100003	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100004	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100005	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100007	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100008	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100009	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100010	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100011	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100012	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100013	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100014	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100016	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100017	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100018	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100020	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100021	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100022	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100023	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100024	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100025	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100026	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100027	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100028	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100029	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100030	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100031	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100032	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100033	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100034	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100035	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100036	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100037	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100038	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100039	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100040	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100041	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100042	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100043	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100044	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100045	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100046	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100047	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100048	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100049	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100079	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100080	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100081	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100082	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100083	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100084	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100085	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100086	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100087	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100088	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100089	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100090	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100091	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100092	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100093	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100094	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100095	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100096	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100097	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100098	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100099	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100100	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100101	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100102	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100103	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100104	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100105	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100107	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100108	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100118	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100119	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100120	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100121	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100122	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100123	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100124	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100125	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100126	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100127	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100128	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100129	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100130	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200001	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200002	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200003	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200006	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200007	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200008	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200009	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200011	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200012	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200013	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200014	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200016	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200017	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200020	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200021	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200022	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200023	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200025	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200026	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200027	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200028	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200029	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200030	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200031	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200032	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200033	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200034	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200035	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200036	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200037	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200038	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200039	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200041	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200043	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200044	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200046	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200048	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200050	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200051	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200052	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200053	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200054	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200055	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200057	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200058	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200059	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200062	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200063	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200064	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200065	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200066	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200070	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200072	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200073	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200079	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200080	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200081	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200082	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200083	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200084	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200085	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200086	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200087	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200088	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200089	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200090	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200091	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200092	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200093	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200094	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200095	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200096	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200097	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200098	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200099	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200100	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200101	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200102	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200103	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200104	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200105	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200108	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200113	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200114	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200118	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200119	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200120	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200121	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200122	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200124	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200125	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200126	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200127	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200128	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika200129	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300003	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300009	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300011	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300022	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300025	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300034	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300038	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300045	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300050	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300056	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300069	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300070	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300071	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300079	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300080	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300081	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300082	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300083	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300084	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300085	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300086	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300087	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300088	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300090	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300091	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300092	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300094	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300095	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300096	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300097	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika300098	Kasai Central	-5.8972842	22.4004362	Mikalayi
